"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",1457.19,1276.565,1199.46166666667,740.465,510.978333333333,1465.89333333333,1388.795,715.475,804.16,253.116666666667,507.895,885.506666666667,466.19,1139.59333333333,1574.355,1523.96166666667,908.203333333333,1482.48333333333,1247.54166666667,665.786666666667,1387.93,503.503333333333,520.161666666667,1232.42,1153.18,343.581666666667,974.015,1550.31166666667,1572.33666666667,953.85
"2",1095.41666666667,1399.845,2710.74333333333,2251.74666666667,1238.12,1051.35,2900.07666666667,2226.75666666667,2315.44166666667,1729.70666666667,1946.23833333333,2188.16833333333,1942.78,2650.875,731.923333333333,1183.70333333333,2419.485,183.336666666667,2758.82333333333,1961.42166666667,2864.52,2014.785,2031.44333333333,2743.70166666667,2664.46166666667,1650.77,2485.29666666667,3026.90166666667,729.905,2430.44
"3",934.971666666667,606.088333333333,1718.08333333333,1368.22333333333,478.1,943.675,1964.38,1203.515,1386.08333333333,739.221666666667,1212.715,739.041666666667,885.355,1649.89,1230.99666666667,919.023333333333,1442.07333333333,1571.24166666667,1810.30833333333,517.031666666667,1539.40833333333,1152.32666666667,1175.335,1795.18666666667,1649.60166666667,1123.405,1600.01,1701.79,1209.58333333333,1199.30333333333
"4",1381.29833333333,1191.61166666667,1183.065,724.068333333333,435.086666666667,1390.00166666667,1372.39833333333,699.078333333333,787.763333333333,193.541666666667,502.205,800.553333333333,406.615,1123.19666666667,1498.46333333333,1448.07,891.806666666667,1530.88666666667,1231.145,580.833333333333,1328.355,487.106666666667,503.765,1216.02333333333,1136.78333333333,396.415,957.618333333333,1490.73666666667,1496.445,894.275
"5",1366.195,1121.925,1284.88166666667,825.885,419.983333333333,1374.89833333333,1474.215,761.568333333333,889.58,260.863333333333,604.021666666667,736.911666666667,473.936666666667,1225.01333333333,1483.36,1432.96666666667,993.623333333333,1515.78333333333,1332.96166666667,517.191666666667,1395.67666666667,588.923333333333,605.581666666667,1317.84,1238.6,498.231666666667,1059.435,1558.05833333333,1481.34166666667,961.596666666667
"6",748.406666666667,672.388333333333,350.71,429.066666666667,613.718333333333,753.481666666667,371.578333333333,402.02,409.365,494.96,473.83,444.956666666667,448.3,349.526666666667,814.033333333333,736.981666666667,385.031666666667,846.728333333333,357.066666666667,481.246666666667,275.701666666667,457.905,459.393333333333,358.416666666667,346.156666666667,538.513333333333,423.236666666667,232.34,811.523333333333,347.448333333333
"7",1564.51833333333,1390.675,1245.79666666667,786.8,622.021666666667,1573.22166666667,1435.13,775.955,850.495,334.108333333333,449.026666666667,980.571666666667,547.181666666667,1185.92833333333,1630.73833333333,1631.29,954.538333333333,1367.06833333333,1293.87666666667,760.851666666667,1468.92166666667,540.05,533.743333333333,1278.755,1199.515,238.128333333333,1020.35,1631.30333333333,1628.72,1034.84166666667
"8",1157.69833333333,812.873333333333,1626.95333333333,1346.00166666667,792.871666666667,1178.98833333333,1920.61333333333,1131.10666666667,1351.56833333333,730.036666666667,1190.49333333333,328.05,863.133333333333,1534.61833333333,1544.24333333333,1075.81666666667,1402.51,1966.92166666667,1730.22333333333,275.648333333333,1197.81833333333,1130.105,1153.11333333333,1715.10166666667,1494.955,1114.22,1577.78833333333,1360.2,1522.83,968
"9",600.25,856.598333333333,2526.03333333333,2067.03666666667,1053.41,556.183333333333,2715.36666666667,2042.04666666667,2130.73166666667,1544.99666666667,1845.17333333333,1888.39166666667,1758.07,2466.165,270.87,688.536666666667,2234.775,803.756666666667,2574.11333333333,1661.645,2679.81,1830.075,1846.73333333333,2558.99166666667,2479.75166666667,1707.18833333333,2300.58666666667,2842.19166666667,268.851666666667,2245.73
"10",1940.16333333333,1611.28,696.113333333333,437.67,1103.26833333333,1948.86666666667,989.306666666667,199.385,419.846666666667,571.598333333333,527.613333333333,864.65,354.826666666667,603.513333333333,2236.18833333333,1940.65333333333,470.788333333333,2242.37333333333,798.916666666667,745.045,680.473333333333,430.071666666667,453.166666666667,783.795,587.326666666667,808.838333333333,669.456666666667,842.855,2214.775,246.393333333333
"11",2064.78333333333,1735.9,523.233333333333,106.223333333333,1141.39333333333,2073.48666666667,719.361666666667,152.615,139.96,624.813333333333,358.925,1127.225,414.515,463.365,2204.77,2065.3,231.975,2130.825,565.29,1008.70833333333,986.081666666667,261.383333333333,284.478333333333,550.168333333333,476.951666666667,643.531666666667,338.01,1148.46333333333,2202.75166666667,552.001666666667
"12",1054.86333333333,725.98,1576.985,1227.125,488.46,1063.56666666667,1823.28166666667,1062.41666666667,1244.985,611.083333333333,1071.61666666667,556.27,744.256666666667,1508.79166666667,1350.88833333333,1011.86833333333,1300.975,1685.86833333333,1669.21,334.26,1356.63666666667,1011.22833333333,1034.23666666667,1654.08833333333,1508.50333333333,995.266666666667,1458.91166666667,1519.01833333333,1329.475,1033.765
"13",1916.74,1584.49,847.605,728.93,1249.50666666667,1925.44333333333,1141.265,490.645,711.106666666667,728.196666666667,773.581666666667,644.926666666667,522.463333333333,755.27,2212.765,1847.43333333333,730.46,2399.66166666667,950.875,654.04,515.53,676.04,699.135,935.753333333333,710.65,1039.44166666667,960.716666666667,677.911666666667,2191.35166666667,115.29
"14",1036.215,707.331666666667,1505.89333333333,1156.03333333333,457.091666666667,1044.91833333333,1752.19,991.325,1173.89333333333,539.991666666667,1000.525,555.408333333333,673.165,1437.7,1332.24,1036.73166666667,1229.88333333333,1654.5,1598.11833333333,328.661666666667,1353.79833333333,940.136666666667,963.145,1582.99666666667,1437.41166666667,924.175,1387.82,1516.18,1310.82666666667,987.113333333333
